"Date","Price","Open","High","Low","Vol.","Change %"
"10/20/2022","1.0430","1.0026","1.0908","0.9999","19.33M","4.05%"
"10/19/2022","1.0024","1.0498","1.0548","0.9979","10.12M","-4.51%"
"10/18/2022","1.0498","1.0642","1.0787","1.0262","9.53M","-1.35%"
"10/17/2022","1.0642","1.0509","1.0681","1.0390","5.51M","1.26%"
"10/16/2022","1.0509","1.0512","1.0748","1.0371","7.57M","-0.02%"
"10/15/2022","1.0511","1.0079","1.0730","1.0048","13.35M","4.28%"
"10/14/2022","1.0080","1.0150","1.0471","0.9939","11.46M","-0.69%"
"10/13/2022","1.0150","1.0389","1.0427","0.9452","26.97M","-2.24%"
"10/12/2022","1.0382","1.0431","1.0549","1.0270","6.27M","-0.47%"
"10/11/2022","1.0431","1.0342","1.0618","1.0112","12.17M","0.86%"
"10/10/2022","1.0342","1.1200","1.1320","1.0310","23.51M","-7.66%"
"10/09/2022","1.1200","1.1112","1.1348","1.1091","5.81M","0.80%"
"10/08/2022","1.1111","1.1210","1.1321","1.0989","5.96M","-0.89%"
"10/07/2022","1.1210","1.1550","1.1660","1.1050","12.53M","-2.94%"
"10/06/2022","1.1550","1.1750","1.1909","1.1530","9.01M","-1.70%"
"10/05/2022","1.1750","1.1999","1.2029","1.1570","9.39M","-2.08%"
"10/04/2022","1.1999","1.1862","1.2079","1.1741","9.45M","1.09%"
"10/03/2022","1.1870","1.1590","1.1930","1.1530","9.79M","2.41%"
"10/02/2022","1.1590","1.2239","1.2251","1.1532","10.23M","-5.30%"
"10/01/2022","1.2239","1.1829","1.2307","1.1810","12.57M","3.46%"
"09/30/2022","1.1829","1.2048","1.2261","1.1682","21.94M","-1.82%"
"09/29/2022","1.2048","1.1472","1.2287","1.1449","27.80M","5.03%"
"09/28/2022","1.1472","1.1541","1.1660","1.1040","12.94M","-0.60%"
"09/27/2022","1.1541","1.1821","1.2267","1.1390","18.07M","-2.37%"
"09/26/2022","1.1821","1.1659","1.1909","1.1370","16.71M","1.40%"
"09/25/2022","1.1659","1.1989","1.2171","1.1451","11.55M","-2.76%"
"09/24/2022","1.1989","1.2288","1.2450","1.1899","19.13M","-2.44%"
